Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Weighted Output,State
126.0,-92762.8463820036,-142602.47559576936,-51854.99660432299,-47241.73065921434,4434.340230743913,-96776.3926716319,-185865.68514891688,0.390870449264199,F
126.0,-92762.8463820036,-142602.47559576936,-51854.99660432299,-47241.73065921434,4434.340230743913,-96776.3926716319,-185865.68514891688,0.390870449264199,F
246.0,-91915.42469446956,-141779.35025445823,-51173.60367460295,-46513.86845277172,4431.099227797893,-97036.36581139156,-185806.341267388,0.3927091444139379,F
246.0,-91915.42469446956,-141779.35025445823,-51173.60367460295,-46513.86845277172,4431.099227797893,-97036.36581139156,-185806.341267388,0.3927091444139379,F
246.0,-91915.42469446956,-141779.35025445823,-51173.60367460295,-46513.86845277172,4431.099227797893,-97036.36581139156,-185806.341267388,0.3927091444139379,F
246.0,-91915.42469446956,-141779.35025445823,-51173.60367460295,-46513.86845277172,4431.099227797893,-97036.36581139156,-185806.341267388,0.3927091444139379,F
110.0,-91006.28984049438,-140880.6536651437,-50448.22251179487,-45706.76931223504,4403.494823395589,-97105.5221087363,-185723.37159196992,0.3949743156473137,F
110.0,-91006.28984049438,-140880.6536651437,-50448.22251179487,-45706.76931223504,4403.494823395589,-97105.5221087363,-185723.37159196992,0.3949743156473137,F
110.0,-91006.28984049438,-140880.6536651437,-50448.22251179487,-45706.76931223504,4403.494823395589,-97105.5221087363,-185723.37159196992,0.3949743156473137,F
110.0,-91006.28984049438,-140880.6536651437,-50448.22251179487,-45706.76931223504,4403.494823395589,-97105.5221087363,-185723.37159196992,0.3949743156473137,F
110.0,-91006.28984049438,-140880.6536651437,-50448.22251179487,-45706.76931223504,4403.494823395589,-97105.5221087363,-185723.37159196992,0.3949743156473137,F
230.0,-90405.43024604682,-140272.68621595934,-49916.16158678074,-45151.08259333165,4478.17200162077,-97277.76465150889,-185773.52890652764,0.3964491672192497,F
230.0,-90405.43024604682,-140272.68621595934,-49916.16158678074,-45151.08259333165,4478.17200162077,-97277.76465150889,-185773.52890652764,0.3964491672192497,F
230.0,-90405.43024604682,-140272.68621595934,-49916.16158678074,-45151.08259333165,4478.17200162077,-97277.76465150889,-185773.52890652764,0.3964491672192497,F
230.0,-90405.43024604682,-140272.68621595934,-49916.16158678074,-45151.08259333165,4478.17200162077,-97277.76465150889,-185773.52890652764,0.3964491672192497,F
